feature,family,short_feature,value,binWidth,method
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,8410.130628401781,5,voxel_spacing_aware
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.1387123639848553,5,voxel_spacing_aware
original_gldm_DependenceVariance,gldm,DependenceVariance,14.392484045892422,5,voxel_spacing_aware
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,1945.2605970641596,5,voxel_spacing_aware
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,78.26757749034012,5,voxel_spacing_aware
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,671.0571499257793,5,voxel_spacing_aware
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,77.40722414646214,5,voxel_spacing_aware
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,53361.70204519215,5,voxel_spacing_aware
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,0.3111218090698675,5,voxel_spacing_aware
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.0041935046248184,5,voxel_spacing_aware
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.0370289581845203,5,voxel_spacing_aware
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,24.326424353708603,5,voxel_spacing_aware
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0001763309409993,5,voxel_spacing_aware
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,1412.3747021363463,5,voxel_spacing_aware
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.0317975224630409,5,voxel_spacing_aware
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,78.36651819321641,5,voxel_spacing_aware
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,667.4265578849829,5,voxel_spacing_aware
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,4.639155030651868,5,voxel_spacing_aware
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,3114.6462768646616,5,voxel_spacing_aware
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.0190995371026532,5,voxel_spacing_aware
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.0042451246267318,5,voxel_spacing_aware
original_glrlm_RunEntropy,glrlm,RunEntropy,6.083190151026222,5,voxel_spacing_aware
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,28496.89146222612,5,voxel_spacing_aware
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.6456012200729518,5,voxel_spacing_aware
original_glrlm_RunPercentage,glrlm,RunPercentage,0.733146830079042,5,voxel_spacing_aware
original_glrlm_RunVariance,glrlm,RunVariance,0.576010875973332,5,voxel_spacing_aware
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.7644247793215346,5,voxel_spacing_aware
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,507.0881550275395,5,voxel_spacing_aware
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.0032727904547768,5,voxel_spacing_aware
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,53.37641723356009,5,voxel_spacing_aware
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.030258739928322,5,voxel_spacing_aware
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,82.71209623305104,5,voxel_spacing_aware
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,651.7942176870748,5,voxel_spacing_aware
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,5156.40589569161,5,voxel_spacing_aware
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,3496680.7114512473,5,voxel_spacing_aware
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,15.534628341164408,5,voxel_spacing_aware
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.0052585054769315,5,voxel_spacing_aware
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,278.9263038548753,5,voxel_spacing_aware
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.1581214874460744,5,voxel_spacing_aware
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.015747044839181,5,voxel_spacing_aware
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,10.41702389610604,5,voxel_spacing_aware
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.0001012959700325,5,voxel_spacing_aware
original_glszm_ZoneEntropy,glszm,ZoneEntropy,8.318598860413967,5,voxel_spacing_aware
original_glszm_ZonePercentage,glszm,ZonePercentage,0.0290945076694705,5,voxel_spacing_aware
