spacing_label,method,family,n_features,n_changed_vs_native,median_abs_diff_vs_native,median_rel_diff_vs_native,spearman_corr_with_native,spearman_corr_with_resample_linear,pearson_corr_with_resample_linear
strong_z5,resample_linear,ngtdm,5,5,0.0325325469995635,0.31263668441201103,0.7999999999999999,0.9999999999999999,0.9999999999999999
strong_z5,resample_nearest,glcm,24,24,0.16342224713393277,0.17624413299192337,0.9539130434782607,0.9860869565217389,0.9989084837736267
strong_z5,resample_nearest,gldm,14,11,0.3240201205911974,0.5697949719655403,0.9956043956043955,0.9912087912087912,0.9511747728434586
strong_z5,resample_nearest,glrlm,16,16,0.37039207744652564,0.3554901925785834,0.9705882352941176,0.988235294117647,0.9933903038372978
strong_z5,resample_nearest,glszm,16,8,0.00432129308922975,0.4000000000000028,0.9705882352941176,0.9647058823529412,0.9998741881808181
strong_z5,resample_nearest,ngtdm,5,5,0.027536308346681002,0.5457391139398345,0.8999999999999998,0.8999999999999998,0.9049132666311505
strong_z5,voxel_spacing_aware,glcm,24,24,0.08233805657107796,0.08524836384036628,0.9878260869565217,0.9713043478260868,0.9992060108874132
strong_z5,voxel_spacing_aware,gldm,14,11,0.3240201205911974,0.5697949719655403,0.9956043956043955,0.9912087912087912,0.9511747728434586
strong_z5,voxel_spacing_aware,glrlm,16,16,0.37039207744652564,0.3554901925785834,0.9705882352941176,0.988235294117647,0.9933903038372978
strong_z5,voxel_spacing_aware,glszm,16,8,0.00432129308922975,0.4000000000000028,0.9705882352941176,0.9647058823529412,0.9998741881808181
strong_z5,voxel_spacing_aware,ngtdm,5,5,0.0189885483232383,0.3884386279409939,0.8999999999999998,0.8999999999999998,0.9524666423746877
