comparison,feature,family,short_feature,z2,z2.5,abs_diff,rel_diff,changed,z3,z3.5,z5,z5.5
z2.5_vs_z3,original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,,0.0855949511274071,0.0025125965754276003,0.02935449512305497,True,0.0830823545519795,,,
z2.5_vs_z3,original_gldm_DependenceVariance,gldm,DependenceVariance,,32.83296856833584,4.105376180782116,0.11114131422686847,True,36.93834474911796,,,
z2.5_vs_z3,original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,,3743.083621969322,1871.5418109846614,0.33333333333333337,True,5614.625432953983,,,
z2.5_vs_z3,original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,,3.193851224412078,0.0,0.0,False,3.193851224412078,,,
z2.5_vs_z3,original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,,35.28814118423223,0.0,0.0,False,35.28814118423223,,,
z2.5_vs_z3,original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,,293.47996041563584,50.13475177304963,0.1459039732429142,True,343.6147121886855,,,
z2.5_vs_z3,original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,,10426.630710869207,1788.3361922040785,0.1464053244183685,True,12214.966903073286,,,
z2.5_vs_z3,original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,,13.729170198478563,2.3306400652046086,0.1451225155800874,True,16.059810263683172,,,
z2.5_vs_z3,original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,,0.0509695439658383,0.0,0.0,False,0.0509695439658383,,,
z2.5_vs_z3,original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,,0.0082491557355209,0.0011968716024459009,0.1450901935687996,True,0.007052284133075,,,
z2.5_vs_z3,original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,,0.2939901804103844,0.04279426157867261,0.14556357467088046,True,0.2511959188317118,,,
z2.5_vs_z3,original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,,0.0005076422378324,7.544412112060002e-05,0.14861671369731094,True,0.0004321981167118,,,
z2.5_vs_z3,original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,,1518.4409053027805,459.57612597983075,0.23234184474227024,True,1978.0170312826112,,,
z2.5_vs_z3,original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,,0.1496540944472149,0.0006706836182789888,0.004481558762266597,True,0.1489834108289359,,,
z2.5_vs_z3,original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,,3.378319092938215,0.027792612301018593,0.008159630307564014,True,3.406111705239234,,,
z2.5_vs_z3,original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,,35.11513644124269,0.03328362423282272,0.0009478426572118096,True,35.08185281700987,,,
z2.5_vs_z3,original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,,10.947086247310567,2.5032698254536143,0.18611178855870747,True,13.450356072764182,,,
z2.5_vs_z3,original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,,390.92894615528337,88.96465937756517,0.18538413171557788,True,479.89360553284854,,,
z2.5_vs_z3,original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,,0.5070571409042249,0.11950454181155867,0.1907306895844243,True,0.6265616827157836,,,
z2.5_vs_z3,original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,,0.0550788234607977,0.0006256833629161018,0.011232185663113061,True,0.0557045068237138,,,
z2.5_vs_z3,original_glrlm_RunEntropy,glrlm,RunEntropy,,4.995963299799543,0.23862311473937226,0.04558585833574231,True,5.234586414538915,,,
z2.5_vs_z3,original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,,2959.1766689855167,314.38809297054377,0.09603845221705244,True,3273.5647619560605,,,
z2.5_vs_z3,original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,,0.2806350438735406,0.03360391121421119,0.11974239122236545,True,0.2470311326593294,,,
z2.5_vs_z3,original_glrlm_RunPercentage,glrlm,RunPercentage,,0.417516715512757,0.05260047281323871,0.12598411239329538,True,0.3649162426995183,,,
z2.5_vs_z3,original_glrlm_RunVariance,glrlm,RunVariance,,3.63543994546844,0.7143824426604506,0.16423255455442806,True,4.34982238812889,,,
z2.5_vs_z3,original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,,0.4350737558508006,0.03188180141789232,0.07327907277593988,True,0.4031919544329083,,,
z2.5_vs_z3,original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,,15.28764108457636,1.1179496505127187,0.0731276751153331,True,14.169691434063642,,,
z2.5_vs_z3,original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,,0.0260646153536868,0.001341380871975703,0.05146367417181036,True,0.0247232344817111,,,
z2.5_vs_z3,original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,,16.81679389312977,0.0,0.0,False,16.81679389312977,,,
z2.5_vs_z3,original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,,0.1283724724666394,0.0,0.0,False,0.1283724724666394,,,
z2.5_vs_z3,original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,,5.749198764640755,0.0,0.0,False,5.749198764640755,,,
z2.5_vs_z3,original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,,37.229007633587784,0.0,0.0,False,37.229007633587784,,,
